text,intent
hi,greeting
hello,greeting
hey there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
hello there,greeting
hi there,greeting
hey,greeting
greetings,greeting
good day,greeting
hi can you help me,greeting
hello i need help,greeting
hi i have a question,greeting
hello i want to ask something,greeting
can you help me,greeting
i need assistance,greeting
start,greeting
anyone there,greeting
is anyone available,greeting
hello po,greeting
good morning po,greeting
may i ask,greeting
excuse me,greeting
hi bots,greeting
kumusta,greeting
musta,greeting
hello chatbot,greeting
hi need help po,greeting
magandang umaga,greeting
bye,farewell
goodbye,farewell
see you,farewell
take care,farewell
thanks bye,farewell
ok thank you bye,farewell
im done,farewell
thats all,farewell
nothing else thank you,farewell
ok bye,farewell
leaving now,farewell
have to go,farewell
cya,farewell
see ya,farewell
done na,farewell
ok lang na,farewell
sige bye,farewell
wala na akong tanong,farewell
ok na po salamat,farewell
ayos na po,farewell
that will be all,farewell
no more questions,farewell
i think thats it,farewell
thank you,thanks
thanks,thanks
thank you so much,thanks
thanks a lot,thanks
maraming salamat,thanks
salamat,thanks
i appreciate it,thanks
that was helpful,thanks
thanks for the info,thanks
ok got it thanks,thanks
noted thanks,thanks
ok thanks,thanks
thank u,thanks
ty,thanks
very helpful thank you,thanks
thanks for helping me,thanks
i got the info i needed thanks,thanks
noted po salamat,thanks
salamat po,thanks
thank you po,thanks
ok po got it,thanks
what are the enrollment requirements,enrollment
how do i enroll in this school,enrollment
when is the enrollment period,enrollment
what documents are needed for enrollment,enrollment
can i enroll online,enrollment
where can i enroll,enrollment
what is the enrollment process,enrollment
is enrollment still open,enrollment
how much is the tuition fee,enrollment
who handles student enrollment,enrollment
how to apply for admission,enrollment
what are the admission requirements,enrollment
is there an entrance exam,enrollment
when does enrollment start and end,enrollment
can a working student enroll,enrollment
what is the deadline for enrollment,enrollment
how to enroll as a transferee,enrollment
what is the maximum number of units i can enroll,enrollment
can i enroll in summer classes,enrollment
how to enroll for the next semester,enrollment
pano mag enroll,enrollment
kailan ang enrollment,enrollment
magkano ang tuition,enrollment
paano mag apply,enrollment
open na ba ang enrollment,enrollment
i want to enroll what should i do,enrollment
what do i need to bring for enrollment,enrollment
is there online enrollment available,enrollment
can i enroll late,enrollment
what happens if i miss the enrollment period,enrollment
how do i know if i am officially enrolled,enrollment
can i add subjects after enrollment,enrollment
what is the enrollment fee,enrollment
where do i pay enrollment fee,enrollment
can i enroll without complete requirements,enrollment
how many units can i take per semester,enrollment
is there a minimum number of units to enroll,enrollment
can i enroll part time,enrollment
what is cross enrollment,enrollment
how do i apply for cross enrollment,enrollment
can i enroll in another school while enrolled here,enrollment
what is the procedure for late enrollment,enrollment
can freshman students enroll online,enrollment
how do i get my student number,enrollment
when will i get my student id after enrollment,enrollment
what is the difference between regular and irregular student,enrollment
can i be an irregular student,enrollment
how do i become a regular student,enrollment
what is promissory note in enrollment,enrollment
can i enroll with a promissory note,enrollment
how do i request for enrollment assessment,enrollment
paano malaman kung enrolled na ako,enrollment
kelan ko malalaman ang schedule ko pagkatapos mag enroll,enrollment
may bayad ba ang enrollment,enrollment
libre ba ang tuition sa plmun,enrollment
kailangan ba ng entrance exam para makapag enroll,enrollment
pwede bang mag enroll ang mga working students,enrollment
what is my class schedule,schedule
when do classes start,schedule
what time are my classes,schedule
how do i check my schedule,schedule
is there a schedule change this semester,schedule
when does the semester start,schedule
when does the semester end,schedule
where can i view my schedule,schedule
are there weekend classes,schedule
what is the academic calendar,schedule
what is the first day of class,schedule
when are the midterm exams,schedule
when are the final exams,schedule
how long is each class period,schedule
when is semestral break,schedule
where can i get a copy of the class schedule,schedule
what are the class days for my course,schedule
is there a make up class schedule,schedule
can i request a change in my schedule,schedule
what are the school holidays this semester,schedule
kailan magsisimula ang klase,schedule
kelan ang finals,schedule
kelan ang midterm,schedule
may pasok ba bukas,schedule
anong oras ang klase,schedule
i want to check my schedule,schedule
when will classes resume,schedule
is there class tomorrow,schedule
how do i know if class is suspended,schedule
when is the last day of classes,schedule
how many weeks is one semester,schedule
is there class during holy week,schedule
what happens if the professor is absent,schedule
is there a makeup class if class is cancelled,schedule
when is the enrollment for summer,schedule
is there summer class available,schedule
when does summer class start,schedule
how long is summer class,schedule
is there class on weekends,schedule
what time does school start,schedule
what time does school end,schedule
when is the opening of classes,schedule
is school open tomorrow,schedule
when is foundation day,schedule
do we have class on holidays,schedule
kelan ang enrollment ng summer,schedule
may klase ba tayo bukas,schedule
kailan ang foundation day ng plmun,schedule
anong linggo ang midterm,schedule
kailan magtatapos ang semester,schedule
what are the school policies,policies
what is the passing grade,policies
what are the attendance rules,policies
what happens if i fail a subject,policies
can i shift to another course,policies
what is the school dress code,policies
what is the retention policy,policies
what is the grading system,policies
can i drop a subject,policies
what are the academic rules,policies
how many absences are allowed,policies
what is the policy on late submission,policies
can i request a reconsideration of my grade,policies
what is the policy on cheating,policies
what is the incomplete grade policy,policies
can i take a leave of absence,policies
what is the minimum grade to stay enrolled,policies
what are the rules on student conduct,policies
what is the appeal process for failed grades,policies
what is the maximum load per semester,policies
bakit ako bagsak,policies
pano kung bumagsak ako,policies
ilan ang allowed na absent,policies
ano ang passing grade,policies
pwede ba akong mag drop ng subject,policies
can i still pass if i have many absences,policies
what is the consequence of cheating,policies
can i appeal my grade,policies
is there a grade consultation,policies
what if i disagree with my grade,policies
